"CampaignID","OpCode","Depth","Location","Status","Site","Observer","Region","Reef.Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TiOR4E",6.6,"Tiahura","Fished","TiOR4E","Ellen D'Cruz","Northwest","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TiOL5",1,"Tiahura","Fished","TiOL5","Ellen D'Cruz","Northwest","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","NIL2",1.5,"Nuarei","No-take","NIL2","Brooke Gibbons","Northeast","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","NIL3",1.7,"Nuarei","No-take","NIL3","Brooke Gibbons","Northeast","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","NOL1S",0.8,"Nuarei","Fished","NOL1S","Ellen D'Cruz","Northeast","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","NOL2S",1.2,"Nuarei","Fished","NOL2S","Ellen D'Cruz","Northeast","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","NOL3S",0.8,"Nuarei","Fished","NOL3S","Brooke Gibbons","Northeast","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","NOL4S",0.8,"Nuarei","Fished","NOL4S","Ellen D'Cruz","Northeast","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TeIR1",6.7,"Tetaiuo","No-take","TeIR1","Brooke Gibbons","Northwest","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TeIR2",7.1,"Tetaiuo","No-take","TeIR2","Brooke Gibbons","Northwest","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","TiOR1W",7.1,"Tiahura","Fished","TiOR1W","Ellen D'Cruz","Northwest","Reef"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","MoIL1",1.6,"Motu Ahi","No-take","MoIL1","Brooke Gibbons","East","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","MoIL2",1.4,"Motu Ahi","No-take","MoIL2","Brooke Gibbons","East","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","MoIL3",1.4,"Motu Ahi","No-take","MoIL3","Izzy Thornander","East","Lagoon"
"2016-07_Moorea.MPA.behaviour_stereoDOVs","MoIL4",1.5,"Motu Ahi","No-take","MoIL4","Izzy Thornander","East","Lagoon"
