3D Point and Length Measurements

Generated: Tuesday, February 12, 2019 13:05:57

Filename	Frame	Time (mins)	Period	Period time (mins)	Length (mm)	Precision (mm)	RMS (mm)	Range (mm)	Direction (deg)	Horz. Dir. (deg)	Vert. Dir. (deg)	Mid X (mm)	Mid Y (mm)	Mid Z (mm)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment	Incoming	MAD
NOL3S_L461.avi	  51289	  14.2612	1	   0.2291	139.439	10.719	2.177	3172.690	24.124	49.030	1.477	-1227.465	418.039	-2895.606	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51295	  14.2628	1	   0.2308	116.422	2.471	5.073	1601.629	21.985	37.908	12.622	-599.353	-16.864	-1485.162	NOL3S	Brooke											Labridae	Thalassoma	hardwicke	37384165	1	AD	Passing			
NOL3S_L461.avi	  51339	  14.2751	1	   0.2430	136.810	6.405	2.796	2444.421	18.241	48.096	14.622	-728.640	233.499	-2321.585	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51339	  14.2751	1	   0.2430	106.425	6.214	1.926	2306.063	23.718	60.983	15.240	-915.718	147.910	-2111.282	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500	143.950	2.460	3.055	2093.012	20.630	6.979	8.993	704.473	217.965	-1958.803	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500	129.094	3.653	4.392	2455.106	25.133	1.220	6.225	1011.254	254.206	-2222.676	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500	137.657	2.942	1.922	2045.697	25.504	15.297	4.275	868.431	147.169	-1846.360	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500	102.489	4.766	3.236	2579.648	27.681	18.183	8.668	1161.437	295.216	-2284.403	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500	116.221	8.012	5.415	2704.979	23.114	51.284	4.857	986.652	392.498	-2487.846	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500	113.941	7.478	3.664	2684.932	12.623	43.786	9.087	526.589	258.824	-2620.034	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500	157.574	8.725	3.082	3008.946	9.087	39.227	4.121	382.574	281.939	-2971.179	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500	120.787	5.356	0.197	2330.320	7.874	39.997	7.928	-207.835	242.300	-2308.352	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500	138.165	2.732	3.916	2102.067	18.646	14.896	3.858	-651.159	166.405	-1991.730	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500	173.540	11.953	3.522	4208.613	16.155	24.402	1.928	992.781	621.005	-4042.421	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500	185.389	10.380	6.422	2913.365	22.719	64.872	10.727	1090.251	278.257	-2687.307	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500		10.015	6.440	4586.938	19.539			1525.731	183.402	-4321.864	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500		10.776	7.878	4781.387	17.052			1379.492	275.604	-4569.760	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500		4.191	1.082	2974.985	9.027			-130.782	464.108	-2935.649	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500		18.596	5.410	6365.234	12.785			1043.971	979.410	-6202.184	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500		16.973	8.414	5956.988	24.432			2430.505	433.986	-5421.256	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500		10.972	6.849	4787.083	27.206			2174.347	272.594	-4256.062	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500		16.339	1.615	5855.813	25.483			2496.919	364.959	-5284.198	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500		7.991	0.319	4062.574	15.778			-715.805	862.666	-3904.861	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500		10.653	3.770	4691.612	16.570			-988.708	925.939	-4491.805	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500		8.968	1.998	4203.204	25.932			-1591.350	940.507	-3774.914	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500		4.646	0.183	3154.554	8.347			-151.073	449.332	-3118.732	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500		24.159	2.887	7510.250	9.039			-337.325	1171.122	-7410.705	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500		8.072	0.613	4108.200	14.638			891.865	553.045	-3971.905	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500		6.366	1.911	3607.575	17.040			981.458	411.612	-3447.015	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500		13.643	1.691	5320.772	21.693			1915.349	473.481	-4941.444	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500		15.537	6.684	5673.205	21.811			2036.035	574.184	-5264.041	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51364	  14.2820	1	   0.2500		9.461	2.522	4384.604	22.275			1585.453	520.775	-4054.613	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  51709	  14.3779	1	   0.3459	177.179	9.596	1.578	2698.188	24.062	82.660	2.822	-1011.129	433.464	-2463.726	NOL3S	Brooke											Acanthuridae	Acanthurus	triostegus	37437019	1	AD	Passing	School A		
NOL3S_L461.avi	  52070	  14.4783	1	   0.4463	139.664	7.119	8.209	4681.719	11.346	6.711	2.357	793.603	467.453	-4590.226	NOL3S	Brooke											Labridae	Thalassoma	hardwicke	37384165	1	AD	Passing	School A		
NOL3S_L461.avi	  53418	  14.8531	1	   0.8211	176.572	9.466	7.642	2768.855	20.446	65.610	14.615	780.797	-570.845	-2594.427	NOL3S	Brooke											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing	School B		
NOL3S_L461.avi	  53418	  14.8531	1	   0.8211	224.323	17.883	2.344	3661.797	18.993	71.961	4.746	1087.909	-486.472	-3462.449	NOL3S	Brooke											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing	School B		
NOL3S_L461.avi	  53418	  14.8531	1	   0.8211	220.675	10.916	8.851	5100.554	17.781	0.626	20.940	1521.025	-335.708	-4856.896	NOL3S	Brooke											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing	School B		
NOL3S_L461.avi	  53418	  14.8531	1	   0.8211	162.851	4.601	4.265	3734.142	12.553	2.714	8.399	727.577	-359.657	-3644.873	NOL3S	Brooke											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing	School B		
NOL3S_L461.avi	  53418	  14.8531	1	   0.8211	195.092	9.677	9.520	3609.371	21.832	24.254	3.300	-1302.571	-324.014	-3350.505	NOL3S	Brooke											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing	School Multispecies C		0.588
NOL3S_L461.avi	  53418	  14.8531	1	   0.8211	216.388	3.891	5.135	4036.232	3.164	6.969	11.410	85.074	-205.926	-4030.077	NOL3S	Brooke											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing	School B		
NOL3S_L461.avi	  53576	  14.8971	1	   0.8650	169.176	15.851	6.746	4506.808	23.546	28.327	14.941	-1772.818	-313.889	-4131.574	NOL3S	Brooke											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
NOL3S_L461.avi	  53591	  14.9012	1	   0.8692	90.797	4.256	6.378	2512.207	14.105	25.935	12.817	275.705	-546.648	-2436.462	NOL3S	Brooke											Labridae	Thalassoma	hardwicke	37384165	1	AD	Passing			
NOL3S_L461.avi	  53591	  14.9012	1	   0.8692	100.296	7.499	2.639	2765.179	20.128	46.743	23.564	-815.993	-489.476	-2596.301	NOL3S	Brooke											Labridae	Thalassoma	hardwicke	37384165	1	AD	Passing			
NOL3S_L461.avi	  53591	  14.9012	1	   0.8692	229.159	14.195	1.665	3404.472	25.857	69.523	6.486	-1423.179	-423.179	-3063.643	NOL3S	Brooke											Labridae	Halichoeres	hortulanus	37384112	1	AD	Passing			
NOL3S_L461.avi	  53753	  14.9463	1	   0.9142	73.884	10.901	14.401	4004.580	21.794	27.861	31.571	-1434.160	-392.042	-3718.353	NOL3S	Brooke											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
NOL3S_L461.avi	  53784	  14.9549	1	   0.9229	194.369	10.041	7.733	2769.747	14.453	64.693	8.776	509.791	-466.923	-2682.087	NOL3S	Brooke											Scaridae	Scarus	globiceps	37386018	1	AD	Passing	School Multispecies C		
NOL3S_L461.avi	  53784	  14.9549	1	   0.9229	137.567	8.021	2.855	2807.143	18.696	55.088	31.429	656.685	-615.185	-2659.016	NOL3S	Brooke											Scaridae	Scarus	globiceps	37386018	1	AD	Passing	School Multispecies C		
NOL3S_L461.avi	  53784	  14.9549	1	   0.9229	151.375	10.727	16.721	3162.770	13.980	51.599	22.052	459.951	-610.135	-3069.086	NOL3S	Brooke											Scaridae	Scarus	globiceps	37386018	1	AD	Passing	School Multispecies C		
NOL3S_L461.avi	  53833	  14.9685	1	   0.9365	83.060	9.367	3.393	2945.725	10.699	45.235	2.469	546.846	-7.092	-2894.513	NOL3S	Brooke											Labridae	Thalassoma	hardwicke	37384165	1	AD	Passing			
NOL3S_L461.avi	  53999	  15.0147	1	   0.9826		5.082	6.246	3341.459	6.719			-324.283	-200.219	-3319.653	NOL3S	Brooke											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
NOL3S_L461.avi	  54222	  15.0767	1	   1.0447		23.195	0.829	7151.226	12.068			-1121.292	1027.084	-6987.692	NOL3S	Brooke											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
NOL3S_L461.avi	  54424	  15.1329	1	   1.1008	170.256	20.965	10.167	4997.765	5.818	33.807	4.365	-373.418	342.373	-4972.021	NOL3S	Brooke											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
NOL3S_L461.avi	  54468	  15.1451	1	   1.1131	217.936	9.050	5.958	4357.027	15.462	10.327	1.739	1155.109	122.326	-4199.339	NOL3S	Brooke											Scaridae	Scarus	oviceps	37386022	1	AD	Passing			
NOL3S_L461.avi	  54721	  15.2154	1	   1.1834	300.310	30.439	3.768	4748.475	12.627	66.749	0.667	-1032.668	105.615	-4633.622	NOL3S	Brooke											Siganidae	Siganus	spinus	37438013	1	AD	Passing			
NOL3S_L461.avi	  54734	  15.2191	1	   1.1870		11.792	11.183	4953.780	23.001			-1919.705	273.124	-4558.516	NOL3S	Brooke											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
NOL3S_L461.avi	  54775	  15.2305	1	   1.1984	147.610	17.164	6.968	5613.004	23.918	4.745	21.944	-2257.168	289.437	-5131.007	NOL3S	Brooke											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
NOL3S_L461.avi	  54781	  15.2321	1	   1.2001	211.536	28.211	1.258	4713.186	25.156	76.909	4.169	-1969.797	365.880	-4266.164	NOL3S	Brooke											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
NOL3S_L461.avi	  54781	  15.2321	1	   1.2001	195.009	13.962	5.261	4444.455	21.963	23.640	16.302	-1641.789	259.886	-4121.913	NOL3S	Brooke											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
NOL3S_L461.avi	  54781	  15.2321	1	   1.2001	196.591	14.849	3.784	4270.220	25.723	28.846	8.196	-1836.477	249.793	-3847.042	NOL3S	Brooke											Scaridae	Scarus	sp9		1	AD	Passing			
NOL3S_L461.avi	  54781	  15.2321	1	   1.2001	185.608	13.659	11.540	4669.322	25.277	9.357	9.993	-1989.440	131.803	-4222.242	NOL3S	Brooke											Scaridae	Scarus	sp9		1	AD	Passing			
NOL3S_L461.avi	  54821	  15.2433	1	   1.2112		8.094	0.563	4101.775	20.762			-1450.881	-74.796	-3835.872	NOL3S	Brooke											Scaridae	Scarus	psittacus	37386024	1	AD	Passing			
NOL3S_L461.avi	  55223	  15.3550	1	   1.3230	95.299	10.404	10.499	2830.854	14.454	63.688	6.509	454.616	-540.904	-2741.255	NOL3S	Brooke											Mullidae	Parupeneus	multifasciatus	37355026	1	AD	Passing	School Multispecies D		
NOL3S_L461.avi	  55227	  15.3561	1	   1.3241	485.716	6.525	19.359	2153.052	17.943	80.938	14.838	340.493	-569.248	-2048.330	NOL3S	Brooke											Scaridae	Scarus	globiceps	37386018	1	AD	Passing	School Multispecies D		
NOL3S_L461.avi	  55227	  15.3561	1	   1.3241	83.092	4.815	2.463	2225.789	19.759	53.510	35.078	438.568	-611.447	-2094.738	NOL3S	Brooke											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing	School Multispecies D		
NOL3S_L461.avi	  55227	  15.3561	1	   1.3241	103.020	8.282	3.427	2477.424	18.318	74.464	7.956	497.697	-598.807	-2351.884	NOL3S	Brooke											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing	School Multispecies D		
NOL3S_L461.avi	  55227	  15.3561	1	   1.3241	48.642	3.234	6.700	2604.222	18.511	88.961	79.004	559.968	-608.333	-2469.482	NOL3S	Brooke											Scaridae	Scarus	globiceps	37386018	1	AD	Passing	School Multispecies D		
NOL3S_L461.avi	  55227	  15.3561	1	   1.3241	121.575	7.449	2.879	2466.836	21.556	62.062	0.487	668.881	-611.579	-2294.308	NOL3S	Brooke											Scaridae	Scarus	globiceps	37386018	1	AD	Passing	School Multispecies D		
NOL3S_L461.avi	  55253	  15.3634	1	   1.3313	121.869	9.013	4.290	2549.730	15.476	73.470	0.898	418.023	-536.803	-2457.280	NOL3S	Brooke											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing	School Multispecies D		
