Periods

Generated: Wednesday, May 03, 2017 08:12:50

Period	Start filename	Start frame	Start time (mins)	End filename	End frame	End time (mins)	Period length (mins)	OpCode	Tape Reader	Depth	Comment								
3	TaOR1S_L461.avi	  54502	  15.1394	TaOR1S_L461.avi	  61982	  17.2172	   2.0778	TaOR1S	Ellen										
4	TaOR1S_L461.avi	  65715	  18.2541	TaOR1S_L461.avi	  72482	  20.1338	   1.8797	TaOR1S	Ellen										
5	TaOR1S_L461.avi	  76520	  21.2555	TaOR1S_L461.avi	  83938	  23.3160	   2.0605	TaOR1S	Ellen										
6	TaOR1S_L461.avi	  88037	  24.4546	TaOR1S_L461.avi	  94576	  26.2710	   1.8164	TaOR1S	Ellen										
1	NIL2_L461.avi	  40767	  11.3355	NIL2_L461.avi	  46683	  12.9805	   1.6450	NIL2	Brooke										
2	NIL2_L461.avi	  49002	  13.6253	NIL2_L461.avi	  54848	  15.2508	   1.6255	NIL2	Brooke										
3	NIL2_L461.avi	  57276	  15.9259	NIL2_L461.avi	  62854	  17.4769	   1.5510	NIL2	Brooke										
4	NIL2_L461.avi	  66773	  18.5666	NIL2_L461.avi	  72326	  20.1107	   1.5440	NIL2	Brooke										
5	NIL2_L461.avi	  75119	  20.8873	NIL2_L461.avi	  82623	  22.9738	   2.0865	NIL2	Brooke										
6	NIL2_L461.avi	  86378	  24.0179	NIL2_L461.avi	  95019	  26.4206	   2.4027	NIL2	Brooke										
1	PIL1_L461.avi	  13765	   3.8274	PIL1_L461.avi	  26750	   7.4380	   3.6106	PIL1	Brooke										
2	PIL1_L461.avi	  32809	   9.1227	PIL1_L461.avi	  44849	  12.4705	   3.3478	PIL1	Brooke										
3	PIL1_L461.avi	  57312	  15.9359	PIL1_L461.avi	  69405	  19.2985	   3.3625	PIL1	Brooke										
4	PIL1_L461.avi	  76727	  21.3344	PIL1_L461.avi	  89611	  24.9169	   3.5825	PIL1	Brooke										
5	PIL1_L461.avi	  97193	  27.0251	PIL1_L461.avi	 113420	  31.5371	   4.5120	PIL1	Brooke										
6	PIL1_L461.avi	 169932	  47.2506	PIL1_L461.avi	 182634	  50.7824	   3.5319	PIL1	Brooke										
1	TeIL1_L461.avi	  29231	   8.1279	TeIL1_L461.avi	  37995	  10.5647	   2.4369	TeIL1	Brooke										
2	TeIL1_L461.avi	  41623	  11.5735	TeIL1_L461.avi	  49794	  13.8455	   2.2720	TeIL1	Brooke										
3	TeIL1_L461.avi	  54454	  15.1413	TeIL1_L461.avi	  62971	  17.5095	   2.3682	TeIL1	Brooke										
4	TeIL1_L461.avi	  67348	  18.7265	TeIL1_L461.avi	  77942	  21.6722	   2.9457	TeIL1	Brooke										
5	TeIL1_L461.avi	  82619	  22.9727	TeIL1_L461.avi	  92070	  25.6006	   2.6279	TeIL1	Brooke										
6	TeIL1_L461.avi	 110762	  30.7980	TeIL1_L461.avi	 122002	  33.9234	   3.1253	TeIL1	Brooke										
1	TiOR1W_L461.avi	  50137	  13.9409	TiOR1W_L461.avi	  58398	  16.2379	   2.2970	TiOR1W	Ellen										
2	TiOR1W_L461.avi	  62208	  17.2973	TiOR1W_L461.avi	  70282	  19.5423	   2.2450	TiOR1W	Ellen										
