3D Point and Length Measurements

Generated: Tuesday, February 12, 2019 13:05:27

Filename	Frame	Time (mins)	Period	Period time (mins)	Length (mm)	Precision (mm)	RMS (mm)	Range (mm)	Direction (deg)	Horz. Dir. (deg)	Vert. Dir. (deg)	Mid X (mm)	Mid Y (mm)	Mid Z (mm)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment	MAD	Incoming
MaOL1N_L461.avi	  33612	   9.3366	1	   2.0367		19.323	13.490	6851.442	6.247			-38.551	-707.400	-6814.716	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
MaOL1N_L461.avi	  33623	   9.3397	1	   2.0397	158.686	13.332	6.445	4169.220	23.729	26.332	8.239	1621.844	-429.414	-3816.755	MaOL1N	Ellen											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaOL1N_L461.avi	  33982	   9.4394	1	   2.1394	101.823	2.447	1.197	1653.741	8.136	33.302	6.110	5.070	-233.975	-1637.098	MaOL1N	Ellen											Labridae	Cheilinus	trilobatus	37384044	1	AD	Passing		0.48	
MaOL1N_L461.avi	  37359	  10.3775	2	   0.0011	178.894	9.229	3.872	3786.181	26.488	8.970	3.830	-1655.547	332.752	-3388.747	MaOL1N	Ellen											Labridae	Thalassoma	hardwicke	37384165	1	AD	Passing			
MaOL1N_L461.avi	  37666	  10.4627	2	   0.0864		17.867	11.010	6560.987	5.140			-257.413	564.105	-6531.621	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
MaOL1N_L461.avi	  37668	  10.4633	2	   0.0869		16.800	4.329	6313.976	5.979			476.755	487.243	-6277.068	MaOL1N	Ellen											Scaridae	Scarus	globiceps	37386018	1	AD	Passing			
MaOL1N_L461.avi	  37702	  10.4727	2	   0.0964		16.705	3.108	6248.274	7.378			718.607	390.801	-6194.498	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
MaOL1N_L461.avi	  38099	  10.5830	2	   0.2067	123.579	12.493	2.089	4237.539	5.610	26.995	8.373	-391.913	134.072	-4217.247	MaOL1N	Ellen											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing		0.42	
MaOL1N_L461.avi	  38153	  10.5980	2	   0.2217		26.022	13.521	7489.192	19.620			2496.684	338.667	-7052.650	MaOL1N	Ellen											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaOL1N_L461.avi	  38167	  10.6019	2	   0.2256	204.534	25.270	2.357	5271.687	19.369	37.162	6.733	-1664.261	535.751	-4973.318	MaOL1N	Ellen											Scaridae	Scarus	psittacus	37386024	1	AD	Passing			
MaOL1N_L461.avi	  38242	  10.6227	2	   0.2464	179.194	14.619	1.008	4426.160	21.467	24.786	2.216	-1597.868	265.813	-4119.108	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
MaOL1N_L461.avi	  38252	  10.6255	2	   0.2492	244.301	28.042	8.117	5138.694	28.135	55.195	10.497	-2394.342	372.577	-4531.500	MaOL1N	Ellen											Scaridae	Scarus	psittacus	37386024	1	AD	Passing			
MaOL1N_L461.avi	  38268	  10.6300	2	   0.2536	202.171	12.054	3.213	4574.170	20.240	12.459	4.746	-1567.546	216.678	-4291.723	MaOL1N	Ellen											Scaridae	Scarus	psittacus	37386024	1	AD	Passing			
MaOL1N_L461.avi	  38325	  10.6458	2	   0.2694	200.595	8.670	2.990	4598.677	10.559	11.507	8.424	-832.613	130.206	-4520.800	MaOL1N	Ellen											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaOL1N_L461.avi	  38456	  10.6822	2	   0.3058		27.953	8.127	8286.642	5.587			-805.147	95.633	-8246.880	MaOL1N	Ellen											Scaridae	Chlorurus	sordidus	37386030	1	AD	Passing			
MaOL1N_L461.avi	  38514	  10.6983	2	   0.3219		25.274	0.016	7776.314	6.763			-859.486	358.245	-7720.363	MaOL1N	Ellen											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaOL1N_L461.avi	  38520	  10.7000	2	   0.3236	206.155	28.815	8.580	6345.740	10.554	27.839	10.295	-1112.135	337.945	-6238.379	MaOL1N	Ellen											Scaridae	Scarus	psittacus	37386024	1	AD	Passing			
MaOL1N_L461.avi	  38536	  10.7044	2	   0.3281		22.738	0.021	7280.865	8.361			-975.182	451.460	-7201.125	MaOL1N	Ellen											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
MaOL1N_L461.avi	  38564	  10.7122	2	   0.3358		19.335	1.424	6847.832	4.733			-422.757	412.176	-6822.330	MaOL1N	Ellen											Acanthuridae	Ctenochaetus	striatus	37437022	1	AD	Passing			
