OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
MaIL2	54	1	279.02689	619.94881	185.60819	627.64846
MaIL2	55	0	255.05762	688.67918	141.35723	691.93515
MaIL2	55	1	130.29449	673.93515	14.13572	677.80546
MaIL2	56	0	1762.66325	590.98976	1794.62228	626.62116
MaIL2	56	1	1713.49552	571.33106	1752.82971	614.33447
MaIL2	57	0	228.62996	582.38908	272.88092	595.90444
MaIL2	58	0	1797.08067	785.23549	1530.96031	837.33788
MaIL2	58	1	1899.10371	777.86348	1639.12932	831.19454
MaIL2	59	0	1819.20615	416.51877	1704.89117	439.86348
MaIL2	59	1	1770.03841	455.83618	1649.57746	480.40956
MaIL2	60	0	1407.42638	565.18771	1524.19974	605.73379
MaIL2	61	0	1447.98976	520.95563	1456.59411	551.67235
MaIL2	61	1	1526.65813	520.95563	1546.32522	550.44369
MaIL2	62	0	746.12036	549.21502	796.51729	568.87372
MaIL2	62	1	699.41101	545.52901	741.20359	567.64505
MaIL2	63	0	786.68374	533.24232	829.70551	559.04437
MaIL2	63	1	727.68246	504.98294	770.70423	529.55631
MaIL2	64	0	783.60435	522.76792	850.66197	545.85324
MaIL2	64	1	740.27529	520.31058	809.48399	543.39590
MaIL2	65	0	749.73496	557.28328	818.00512	580.65188
MaIL2	66	0	764.63636	551.84642	818.97951	573.78157
MaIL2	66	1	723.45839	543.55290	780.87452	565.79522
MaIL2	67	0	710.36492	596.61092	769.89629	619.54608
MaIL2	67	1	665.80666	596.30375	729.64020	618.62457
MaIL2	68	0	726.45327	554.12969	774.39181	578.70307
MaIL2	69	0	751.03713	572.55973	800.20487	594.67577
MaIL2	70	0	786.96415	586.82594	809.51601	610.68942
MaIL2	70	1	727.34827	584.06143	752.66581	607.00341
MaIL2	71	0	765.32907	597.43345	800.41229	621.09556
MaIL2	71	1	719.54161	594.36177	753.39565	616.18089
MaIL2	72	0	286.40205	680.68259	51.62612	681.91126
MaIL2	72	1	338.02817	656.10922	118.00256	659.79522
MaIL2	73	0	472.01024	611.87713	105.71063	619.24915
MaIL2	73	1	558.05378	581.16041	183.14981	592.21843
MaIL2	74	0	1787.24712	587.30375	1730.70423	626.62116
MaIL2	74	1	1878.20743	588.53242	1825.35211	629.07850
MaIL2	75	0	703.09859	559.04437	735.05762	582.38908
MaIL2	76	0	1805.68502	656.10922	1746.68374	704.02730
MaIL2	76	1	1910.16645	652.42321	1852.39437	699.11263
MaIL2	77	0	231.08835	221.16041	180.69142	258.02048
MaIL2	78	0	961.22919	626.62116	991.95903	651.19454
MaIL2	78	1	923.12420	631.53584	945.24968	657.33788
MaIL2	79	0	1585.12548	567.01024	1632.13572	602.46075
MaIL2	79	1	1548.24968	580.52560	1585.73367	615.66894
MaIL2	80	0	887.47759	615.56314	915.74904	642.59386
MaIL2	80	1	844.45583	625.39249	853.06018	648.73720
MaIL2	81	0	755.95391	629.07850	749.80794	649.96587
MaIL2	81	1	693.26504	635.22184	688.34827	654.88055
MaIL2	82	0	583.94878	666.46416	566.74520	681.76792
MaIL2	82	1	506.71447	674.65529	489.71575	688.11604
MaIL2	83	0	912.06146	613.10580	984.58387	640.13652
MaIL2	84	0	395.80026	571.33106	338.02817	587.30375
MaIL2	84	1	474.46863	561.50171	416.69654	578.70307
MaIL2	85	0	281.48528	588.53242	158.56594	599.59044
MaIL2	85	1	346.63252	592.21843	216.33803	602.04778
MaIL2	86	0	1015.31370	490.23891	1078.00256	518.49829
MaIL2	86	1	969.83355	481.63823	1027.60563	504.98294
MaIL2	87	0	774.39181	633.99317	749.80794	658.56655
MaIL2	88	0	40.56338	755.63140	65.14725	744.57338
MaIL2	88	1	125.37772	739.65870	141.35723	733.51536
MaIL2	89	0	1874.51985	619.24915	1862.22791	665.93857
MaIL2	89	1	1910.16645	630.30717	1915.08323	681.91126
MaIL2	90	0	302.30602	473.20137	399.49296	494.62116
MaIL2	90	1	257.23560	468.69625	358.51985	490.73038
MaIL2	91	0	350.32010	545.52901	255.67222	560.27304
MaIL2	91	1	249.52625	545.52901	146.27401	557.81570
MaIL2	92	0	238.46351	458.29352	298.69398	480.40956
MaIL2	92	1	169.62868	455.83618	231.08835	479.18089
MaIL2	93	0	301.15237	477.95222	292.54802	498.83959
MaIL2	94	0	1714.72471	570.10239	1790.93470	611.87713
MaIL2	94	1	1681.53649	567.64505	1746.68374	609.41980
MaIL2	95	0	108.37388	276.69966	161.84379	310.03072
MaIL2	95	1	168.60435	274.85666	210.39693	308.59727
MaIL2	96	0	325.73624	528.32765	248.29706	541.84300
MaIL2	96	1	376.13316	528.32765	283.94366	541.84300
MaIL2	97	0	1409.88476	551.67235	1470.11524	584.84642
MaIL2	97	1	1368.09219	556.58703	1409.88476	592.21843
MaIL2	98	0	1456.59411	514.81229	1538.95006	547.98635
MaIL2	99	0	41.79257	496.38225	4.91677	512.35495
