OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
TeOL4N	4	5	TeOL4N_L461.avi	63015	17.50410	TeOL4N_L461.avi	69870	19.40826	1
TeOL4N	5	6	TeOL4N_L461.avi	74284	20.63436	TeOL4N_L461.avi	83342	23.15046	1
TeOR1N	0	1	TeOR1N_L461.avi	36999	10.27746	TeOR1N_L461.avi	44984	12.49551	1
TeOR1N	1	2	TeOR1N_L461.avi	47598	13.22161	TeOR1N_L461.avi	54825	15.22911	1
TeOR1N	2	3	TeOR1N_L461.avi	57231	15.89744	TeOR1N_L461.avi	63187	17.55187	1
TeOR1N	3	4	TeOR1N_L461.avi	66548	18.48548	TeOR1N_L461.avi	74446	20.67936	1
TeOR1N	4	5	TeOR1N_L461.avi	77416	21.50436	TeOR1N_L461.avi	84401	23.44463	1
TeOR1N	5	6	TeOR1N_L461.avi	85855	23.84852	TeOR1N_L461.avi	94529	26.25795	1
TeOR2N	0	1	TeOR2N_L461.avi	36469	10.13024	TeOR2N_L461.avi	50664	14.07328	1
TeOR2N	1	2	TeOR2N_L461.avi	55032	15.28661	TeOR2N_L461.avi	69613	19.33687	1
TeOR2N	2	3	TeOR2N_L461.avi	74557	20.71019	TeOR2N_L461.avi	89635	24.89851	1
TeOR2N	3	4	TeOR2N_L461.avi	93071	25.85295	TeOR2N_L461.avi	108539	30.14960	1
TeOR2N	4	5	TeOR2N_L461.avi	117784	32.71765	TeOR2N_L461.avi	130389	36.21902	1
TeOR2N	5	6	TeOR2N_L461.avi	134231	37.28624	TeOR2N_L461.avi	146974	40.82595	1
TeOR3S	0	1	TeOR3S_L461.avi	28657	7.96028	TeOR3S_L461.avi	35907	9.97417	1
TeOR3S	1	2	TeOR3S_L461.avi	39404	10.94556	TeOR3S_L461.avi	47686	13.24611	1
TeOR3S	2	3	TeOR3S_L461.avi	50388	13.99667	TeOR3S_L461.avi	58047	16.12417	1
TeOR3S	3	4	TeOR3S_L461.avi	61005	16.94583	TeOR3S_L461.avi	69562	19.32278	1
TeOR3S	4	5	TeOR3S_L461.avi	72567	20.15750	TeOR3S_L461.avi	81539	22.64972	1
TeOR3S	5	6	TeOR3S_L461.avi	84241	23.40028	TeOR3S_L461.avi	94488	26.24667	1
TiOL2E	0	1	TiOL2E_L461.avi	51692	14.37322	TiOL2E_L461.avi	60355	16.78201	1
TiOL2E	1	2	TiOL2E_L461.avi	65465	18.20287	TiOL2E_L461.avi	75054	20.86914	1
