OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
NOL3S	222	0	284.53154	667.50816	39.97551	666.33297
NOL3S	223	0	1215.14340	434.69388	1020.57361	461.63265
NOL3S	224	0	1560.74648	804.23286	1587.67177	855.34603
NOL3S	224	1	1600.52603	827.34494	1616.86957	881.20022
NOL3S	225	0	1300.48377	430.78890	1353.81506	460.41785
NOL3S	226	0	373.88855	789.72797	11.75750	781.50163
NOL3S	226	1	422.09430	774.45049	64.66626	761.52339
NOL3S	227	0	375.42131	758.43743	6.66258	749.73667
NOL3S	227	1	417.74832	725.33624	49.77342	726.82046
NOL3S	228	0	885.96558	415.10204	964.28298	438.36735
NOL3S	229	0	1906.47887	754.22198	1784.20086	809.05658
NOL3S	229	1	1817.51378	775.76714	1692.49235	827.66376
NOL3S	230	0	1207.51623	325.07726	1236.67789	346.98477
NOL3S	230	1	1249.64727	324.68553	1279.00490	346.98477
NOL3S	231	0	1511.62156	921.19151	1385.03368	973.05767
NOL3S	231	1	1604.70178	941.75734	1487.32394	1003.61262
NOL3S	232	0	1815.35824	630.45811	1791.25536	676.06529
NOL3S	232	1	1756.57073	590.10990	1752.06369	629.44940
NOL3S	233	0	1068.17697	352.19151	968.23944	378.05658
NOL3S	233	1	1111.67973	354.54189	1005.47152	376.68553
NOL3S	234	0	1102.66565	386.85963	1111.17085	410.95321
NOL3S	234	1	1141.46540	386.27203	1152.90998	409.77802
NOL3S	235	0	1331.63748	384.15996	1212.42743	401.67573
NOL3S	235	1	1383.95836	383.57236	1257.49786	403.63439
NOL3S	236	0	1288.91855	354.78020	1239.46969	377.19260
NOL3S	236	1	1341.43539	357.13058	1290.02694	378.17193
NOL3S	237	0	1680.27985	384.22198	1718.23148	403.83025
NOL3S	237	1	1723.39069	377.56257	1767.41702	402.85092
NOL3S	238	0	1590.69810	544.09793	1577.32027	576.40696
NOL3S	238	1	1633.41702	545.66485	1634.93203	575.81937
NOL3S	239	0	1810.65524	450.09793	1743.63748	481.82807
NOL3S	240	0	1523.23760	516.58324	1448.80527	545.31338
NOL3S	240	1	1627.48745	503.26442	1545.60870	532.19042
NOL3S	241	0	826.67361	806.15887	797.15860	822.63330
NOL3S	241	1	784.93448	796.36561	751.30435	810.88139
NOL3S	242	0	154.24984	582.39726	169.76236	592.83562
NOL3S	242	1	180.14579	564.72603	192.57547	576.80822
NOL3S	243	0	863.00061	775.62568	574.94182	792.07835
NOL3S	243	1	999.38763	766.22416	697.21984	779.15125
NOL3S	244	0	1029.34489	744.80822	794.68850	770.41096
NOL3S	244	1	1114.22608	734.53425	855.52344	755.41096
NOL3S	245	0	1217.98587	682.43836	1071.17919	716.24658
NOL3S	245	1	1312.11561	667.02740	1169.21387	697.75342
NOL3S	246	0	1756.60450	419.74857	1763.19614	448.02857
NOL3S	246	1	1814.84244	420.57143	1823.28617	448.85143
NOL3S	247	0	271.95825	530.97260	290.42775	546.84932
NOL3S	247	1	334.64290	505.69863	353.11240	525.47945
NOL3S	248	0	192.36994	519.04110	204.70135	531.36986
NOL3S	249	0	94.95183	436.43836	109.74952	458.63014
NOL3S	250	0	807.81672	664.25714	771.77814	683.28343
NOL3S	250	1	859.67524	682.52000	811.52090	702.86743
NOL3S	251	0	889.30225	644.58400	831.48875	661.51657
NOL3S	251	1	915.92605	679.01143	840.82637	703.71543
NOL3S	252	0	733.46302	885.13257	602.54662	895.13257
NOL3S	252	1	767.95820	893.52571	634.49518	905.08000
NOL3S	253	0	723.70418	896.33486	587.16077	904.22057
NOL3S	253	1	819.79743	932.10629	657.57556	943.48457
NOL3S	254	0	568.47588	427.48229	660.73312	452.28000
NOL3S	255	0	1295.13826	394.37143	1300.93248	417.42286
NOL3S	255	1	1335.67846	392.52000	1341.88424	415.77714
NOL3S	256	0	1744.28617	424.69143	1674.23794	446.75429
NOL3S	256	1	1801.70096	418.52000	1735.15113	442.84571
NOL3S	257	0	884.54984	1028.66057	628.17363	1040.52114
NOL3S	257	1	934.78778	1044.20343	671.54341	1054.27657
NOL3S	258	0	1724.91318	652.93714	1653.29904	694.90286
NOL3S	258	1	1636.01286	657.87429	1552.05145	699.84000
NOL3S	259	0	1665.64630	670.21714	1537.23473	710.94857
NOL3S	259	1	1627.36977	666.51429	1490.31511	706.01143
NOL3S	260	0	383.34084	393.76686	393.95177	417.38857
NOL3S	260	1	441.06431	398.42971	449.20579	420.34171
NOL3S	261	0	1840.92190	478.00683	1807.73367	506.24915
NOL3S	261	1	1805.27529	492.13652	1766.35083	525.49829
NOL3S	262	0	1169.65595	1036.71200	722.54662	1060.02743
NOL3S	262	1	1266.56592	1029.54629	790.56270	1059.79429
NOL3S	263	0	1791.79421	658.39429	1655.20257	706.24000
NOL3S	263	1	1721.62058	647.90286	1597.58199	687.10857
NOL3S	264	0	1279.51088	833.32082	1148.81306	866.93515
NOL3S	264	1	1238.12804	841.92150	1105.79129	879.63140
