FAMILY	GENUS	SPECIES	CAAB CODE			
Terapontidae	Bidyanus		37321903			
Congridae	Blachea		37067906			
Ammodytidae	Bleekeria		37425902			
Blenniidae	Blenniella		37408903			
Congrogadidae	Blennodesmus		37411901			
Labridae	Bodianus		37384904			
Scaridae	Bolbometopon		37386901			
Gobiidae	Boleophthalmus		37428916			
Myctophidae	Bolinichthys		37122903			
Gonostomatidae	Bonapartia		37106901			
Astronesthidae	Borostomias		37108902			
Percichthyidae	Bostockia		37311918			
Eleotridae	Bostrychus		37429902			
Bothidae	Bothus		37460904			
Styelidae	Botryllocarpa		35033903			
Styelidae	Botrylloides		35033901			
Styelidae	Botryllus		35033904			
Bovichtidae	Bovichtus		37403901			
Triglidae	Bovitrigla		37288904			
Brachaeluridae	Brachaelurus		37013901			
Monacanthidae	Brachaluteres		37465913			
Brachionichthyidae	Brachionichthys		37209901			
Brachionichthyidae	Brachiopsilus		37209902			
Soleidae	Brachirus		37462903			
Tripterygiidae	Brachynectes		37415902			
Citharidae	Brachypleura		37458901			
Pteroidae	Brachypterois		37287909			
Ophichthidae	Brachysomophis		37068904			
Bramidae	Brama		37342900			
Malacanthidae	Branchiostegus		37331901			
Branchiostomidae	Branchiostoma		36210901			
Bregmacerotidae	Bregmaceros		37225901			
Polycitoridae	Brevicollus		35018901			
Salpidae	Brooksia		35103901			
Bythitidae	Brosmolus		37228910			
Bythitidae	Brosmophyciops		37228911			
Ophidiidae	Brotula		37228912			
Ophidiidae	Brotulotaenia		37228913			
Gobiidae	Bryaninops		37428917			
Diceratiidae	Bufoceratias		37214901			
Syngnathidae	Bulbonaricus		37282903			
Eleotridae	Bunaka		37429903			
Eleotridae	Butis		37429904			
Scyliorhinidae	Bythaelurus		37015905			
Gobiidae	Cabillus		37428918			
Agneziidae	Caenagnesia		35001903			
Caesionidae	Caesio		37346920			
Serranidae	Caesioperca		37311919			
Serranidae	Caesioscorpis		37311920			
Melanotaeniidae	Cairnsichthys		37245901			
Callanthiidae	Callanthias		37311921			
Ophichthidae	Callechelys		37068905			
Callipallenidae	Callipallene		33011903			
Callionymidae	Calliurichthys		37427903			
Gobiidae	Callogobius		37428919			
Plesiopidae	Calloplesiops		37316902			
Callorhinchidae	Callorhinchus		37043901			
Scaridae	Calotomus		37386902			
Eleotridae	Calumia		37429905			
Syngnathidae	Campichthys		37282904			
Monacanthidae	Cantherhines		37465914			
Monacanthidae	Cantheschenia		37465915			
Balistidae	Canthidermis		37465916			
Tetraodontidae	Canthigaster		37467902			
Ostraciidae	Caprichthys		37466904			
Serranidae	Caprodon		37311922			
Ostraciidae	Capropygia		37466905			
Caracanthidae	Caracanthus		37289901			
Gobiidae	Caragobius		37428920			
Carangidae	Carangoides		37337916			
Carangidae	Caranx		37337917			
Carapidae	Carapus		37229901			
Cyprinidae	Carassius		37165901			
Carcharhinidae	Carcharhinus		37018904			
Odontaspididae	Carcharias		37008901			
Lamnidae	Carcharodon		37010901			
Liparidae	Careproctus		37307901			
Caristiidae	Caristius		37343901			
Congridae	Castleichthys		37067907			
Bythitidae	Cataetyx		37228914			
Caulophrynidae	Caulophryne		37221901			
Macroramphosidae	Centriscops		37279901			
Centriscidae	Centriscus		37280902			
Berycidae	Centroberyx		37258902			
Myctophidae	Centrobranchus		37122904			
Draconettidae	Centrodraco		37427904			
Centrogeniidae	Centrogenys		37311923			
Centrolophidae	Centrolophus		37445904			
Centrophoridae	Centrophorus		37020908			
Tetrarogidae	Centropogon		37287903			
Pomacanthidae	Centropyge		37365904			
Etmopteridae	Centroscyllium		37020909			
Somniosidae	Centroscymnus		37020906			
Somniosidae	Centroselachus		37020910			
Cephalodiscidae	Cephalodiscus		36123901			
Serranidae	Cephalopholis		37311904			
Paralichthyidae	Cephalopsetta		37460905			
Scyliorhinidae	Cephaloscyllium		37015906			
Cepolidae	Cepola		37380902			
Ceratiidae	Ceratias		37220901			
